gene_id,gene,log2.fold_change.,p_value,q_value,Sig
ENSMUSG00000090231.10,Cfb,7.51683,5e-05,0.000496523,Up
ENSMUSG00000001131.11,Timp1,7.38921,0.0411,0.122619,Up
ENSMUSG00000019942.12,Cdk1,7.37331,5e-05,0.000496523,Up
ENSMUSG00000029304.14,Spp1,7.09584,5e-05,0.000496523,Up
ENSMUSG00000079017.3,Ifi27l2a,6.89063,0.0042,0.020542,Up
ENSMUSG00000050370.4,Ch25h,6.54097,0.04015,0.120508,Up
ENSMUSG00000050335.16,Lgals3,6.37282,5e-05,0.000496523,Up
ENSMUSG00000056888.11,Glipr1,6.04812,0.0098,0.0402597,Up
ENSMUSG00000037725.7,Ckap2,5.9572,0.044,0.129468,Up
ENSMUSG00000035493.9,Tgfbi,5.91839,1e-04,0.00091011,Up
ENSMUSG00000030107.10,Usp18,5.87158,5e-05,0.000496523,Up
ENSMUSG00000006219.12,Fblim1,5.86679,0.03635,0.111998,Up
ENSMUSG00000037411.10,Serpine1,5.65382,5e-05,0.000496523,Up
ENSMUSG00000034855.13,Cxcl10,5.63786,0.0012,0.00737635,Up
ENSMUSG00000026358.13,Rgs1,5.63616,0.0425,0.125919,Up
ENSMUSG00000036594.14,H2-Aa,5.62857,0.001,0.00630289,Up
ENSMUSG00000040613.14,Apobec1,5.59839,0.0464,0.134585,Up
ENSMUSG00000040204.6,2810417H13Rik,5.56805,1e-04,0.00091011,Up
ENSMUSG00000035692.6,Isg15,5.5212,5e-05,0.000496523,Up
ENSMUSG00000047798.15,Cd300lf,5.51383,2e-04,0.0016564,Up
ENSMUSG00000029816.10,Gpnmb,5.48805,5e-05,0.000496523,Up
ENSMUSG00000034947.13,Tmem106a,5.4843,0.0448,0.131355,Up
ENSMUSG00000043091.8,Tuba1c,5.42068,5e-05,0.000496523,Up
ENSMUSG00000045382.6,Cxcr4,5.41779,5e-05,0.000496523,Up
ENSMUSG00000087107.7,AI662270,5.39483,5e-05,0.000496523,Up
ENSMUSG00000079419.4,Ms4a6c,5.35236,5e-05,0.000496523,Up
ENSMUSG00000001473.6,Tubb6,5.29821,0.00445,0.021561,Up
ENSMUSG00000019214.13,Chtf18,-5.22635,0.00995,0.0406608,Down
ENSMUSG00000015340.10,Cybb,5.19777,1e-04,0.00091011,Up
ENSMUSG00000028494.12,Plin2,5.17613,5e-05,0.000496523,Up
ENSMUSG00000056737.14,Capg,5.11975,5e-05,0.000496523,Up
ENSMUSG00000027306.15,Nusap1,5.1059,5e-05,0.000496523,Up
ENSMUSG00000039899.5,Fgl2,5.08028,0.03705,0.113312,Up
ENSMUSG00000028037.13,Ifi44,5.07637,4e-04,0.00295434,Up
ENSMUSG00000029217.16,Tec,5.02804,5e-05,0.000496523,Up
ENSMUSG00000001506.10,Col1a1,5.02567,5e-05,0.000496523,Up
ENSMUSG00000024679.10,Ms4a6d,5.02124,5e-05,0.000496523,Up
ENSMUSG00000069516.7,Lyz2,4.99453,5e-05,0.000496523,Up
ENSMUSG00000025498.14,Irf7,4.96941,5e-05,0.000496523,Up
ENSMUSG00000035352.3,Ccl12,4.95198,5e-04,0.0035596,Up
ENSMUSG00000029380.11,Cxcl1,4.94666,0.0193,0.0689571,Up
ENSMUSG00000021624.9,Cd180,4.94304,0.00225,0.0122757,Up
ENSMUSG00000029661.16,Col1a2,4.93995,5e-05,0.000496523,Up
ENSMUSG00000020914.17,Top2a,4.92582,5e-05,0.000496523,Up
ENSMUSG00000029373.7,Pf4,4.92403,5e-05,0.000496523,Up
ENSMUSG00000028364.15,Tnc,4.91443,5e-05,0.000496523,Up
ENSMUSG00000026728.9,Vim,4.90924,5e-05,0.000496523,Up
ENSMUSG00000046718.7,Bst2,4.89423,0.00025,0.00198959,Up
ENSMUSG00000025491.14,Ifitm1,4.87773,5e-05,0.000496523,Up
ENSMUSG00000031838.7,Ifi30,4.85594,5e-05,0.000496523,Up
ENSMUSG00000038147.13,Cd84,4.84928,0.04355,0.128387,Up
ENSMUSG00000024529.13,Lox,4.849,5e-05,0.000496523,Up
ENSMUSG00000027907.4,S100a11,4.79548,0.044,0.129468,Up
ENSMUSG00000049130.5,C5ar1,4.77992,7e-04,0.00471333,Up
ENSMUSG00000033213.16,AA467197,4.76424,5e-05,0.000496523,Up
ENSMUSG00000052305.5,Hbb-bs,4.76216,5e-05,0.000496523,Up
ENSMUSG00000097705.1,Gm26740,4.70716,0.04745,0.136673,Up
ENSMUSG00000019929.15,Dcn,4.70107,5e-05,0.000496523,Up
ENSMUSG00000048572.4,Tmem252,4.65937,5e-05,0.000496523,Up
ENSMUSG00000042286.13,Stab1,4.64948,5e-05,0.000496523,Up
ENSMUSG00000024672.11,Ms4a7,4.60651,0.00185,0.0104609,Up
ENSMUSG00000048327.6,Ckap2l,4.57775,0.00035,0.00263998,Up
ENSMUSG00000042489.15,Clspn,4.55254,0.00025,0.00198959,Up
ENSMUSG00000025001.11,Hells,4.52731,0.00015,0.00129406,Up
ENSMUSG00000022014.14,Epsti1,4.51481,0.002,0.0111567,Up
ENSMUSG00000024659.14,Anxa1,4.50675,5e-05,0.000496523,Up
ENSMUSG00000030208.15,Emp1,4.50295,5e-05,0.000496523,Up
ENSMUSG00000068220.5,Lgals1,4.50276,5e-05,0.000496523,Up
ENSMUSG00000021886.6,Gpr65,4.4827,0.00025,0.00198959,Up
ENSMUSG00000034205.16,Loxl2,4.47762,0.00015,0.00129406,Up
ENSMUSG00000052688.12,Rab7b,4.477,5e-05,0.000496523,Up
ENSMUSG00000005397.7,Nid1,4.46847,5e-05,0.000496523,Up
ENSMUSG00000036446.4,Lum,4.46104,5e-05,0.000496523,Up
ENSMUSG00000001918.17,Slc1a5,4.42187,0.00025,0.00198959,Up
ENSMUSG00000015355.13,Cd48,4.37939,0.0103,0.0418023,Up
ENSMUSG00000020649.11,Rrm2,4.33011,5e-05,0.000496523,Up
ENSMUSG00000005087.17,Cd44,4.32627,5e-05,0.000496523,Up
ENSMUSG00000067149.6,Jchain,4.29935,5e-05,0.000496523,Up
ENSMUSG00000089929.1,Bcl2a1b,4.27087,0.00625,0.0280809,Up
ENSMUSG00000001123.15,Lgals9,4.24317,0.00065,0.00443922,Up
ENSMUSG00000033220.6,Rac2,4.22314,0.0014,0.00834559,Up
ENSMUSG00000026042.16,Col5a2,4.21347,4e-04,0.00295434,Up
ENSMUSG00000054717.6,Hmgb2,4.21302,5e-05,0.000496523,Up
ENSMUSG00000069792.5,Wfdc17,4.20183,0.00265,0.0139673,Up
ENSMUSG00000030921.16,Trim30a,4.20113,5e-05,0.000496523,Up
ENSMUSG00000015947.10,Fcgr1,4.19357,5e-05,0.000496523,Up
ENSMUSG00000017716.15,Birc5,4.19351,5e-05,0.000496523,Up
ENSMUSG00000058715.11,Fcer1g,4.17583,5e-05,0.000496523,Up
ENSMUSG00000069919.7,Hba-a1,4.15498,5e-05,0.000496523,Up
ENSMUSG00000023505.13,Cdca3,4.15474,0.0447,0.131154,Up
ENSMUSG00000051439.6,Cd14,4.1397,5e-05,0.000496523,Up
ENSMUSG00000034459.8,Ifit1,4.08834,5e-05,0.000496523,Up
ENSMUSG00000030560.16,Ctsc,4.07629,5e-05,0.000496523,Up
ENSMUSG00000060591.8,Ifitm2,4.07138,0.02195,0.0763182,Up
ENSMUSG00000040212.11,Emp3,4.05973,5e-05,0.000496523,Up
ENSMUSG00000005413.7,Hmox1,4.0562,5e-05,0.000496523,Up
ENSMUSG00000044468.14,Fam46c,4.05011,5e-05,0.000496523,Up
ENSMUSG00000001517.14,Foxm1,4.03708,0.00025,0.00198959,Up
ENSMUSG00000024087.3,Cyp1b1,4.01601,2e-04,0.0016564,Up
ENSMUSG00000071713.4,Csf2rb,4.01365,5e-05,0.000496523,Up
ENSMUSG00000040552.8,C3ar1,4.00903,5e-05,0.000496523,Up
ENSMUSG00000027435.8,Cd93,4.00788,5e-05,0.000496523,Up
ENSMUSG00000018927.3,Ccl6,3.99918,5e-05,0.000496523,Up
ENSMUSG00000025492.6,Ifitm3,3.99401,5e-05,0.000496523,Up
ENSMUSG00000053158.10,Fes,3.97683,3e-04,0.00231628,Up
ENSMUSG00000035455.12,Fignl1,3.97192,5e-05,0.000496523,Up
ENSMUSG00000019122.8,Ccl9,3.97035,9e-04,0.00578711,Up
ENSMUSG00000031586.16,Rbpms,3.96965,5e-05,0.000496523,Up
ENSMUSG00000026669.14,Mcm10,3.96121,5e-05,0.000496523,Up
ENSMUSG00000017737.2,Mmp9,3.94376,5e-05,0.000496523,Up
ENSMUSG00000028480.14,Glipr2,3.92063,5e-05,0.000496523,Up
ENSMUSG00000078920.2,Ifi47,3.90662,0.0273,0.0905602,Up
ENSMUSG00000074874.9,Ctla2b,3.90611,1e-04,0.00091011,Up
ENSMUSG00000021091.8,Serpina3n,3.90534,5e-05,0.000496523,Up
ENSMUSG00000094685.1,Gm5900,3.89313,5e-05,0.000496523,Up
ENSMUSG00000002289.15,Angptl4,3.89297,5e-05,0.000496523,Up
ENSMUSG00000070436.11,Serpinh1,3.8579,5e-05,0.000496523,Up
ENSMUSG00000070780.11,Rbm47,3.83542,5e-05,0.000496523,Up
ENSMUSG00000031304.18,Il2rg,3.82931,5e-05,0.000496523,Up
ENSMUSG00000060586.10,H2-Eb1,3.82135,5e-05,0.000496523,Up
ENSMUSG00000017499.15,Cdc6,3.80791,0.00055,0.00386244,Up
ENSMUSG00000015950.13,Ncf1,3.79583,5e-05,0.000496523,Up
ENSMUSG00000026548.4,Slamf9,3.78208,0.00025,0.00198959,Up
ENSMUSG00000031262.12,Cenpi,3.78057,0.00325,0.016622,Up
ENSMUSG00000024538.7,Ppic,3.77572,5e-05,0.000496523,Up
ENSMUSG00000024677.13,Ms4a6b,3.77567,5e-05,0.000496523,Up
ENSMUSG00000056724.14,Nbeal2,3.77515,3e-04,0.00231628,Up
ENSMUSG00000020143.15,Dock2,3.7698,5e-05,0.000496523,Up
ENSMUSG00000029622.16,Arpc1b,3.75398,5e-05,0.000496523,Up
ENSMUSG00000046805.9,Mpeg1,3.75366,5e-05,0.000496523,Up
ENSMUSG00000021998.16,Lcp1,3.74685,5e-05,0.000496523,Up
ENSMUSG00000079293.11,Clec7a,3.73927,5e-05,0.000496523,Up
ENSMUSG00000001020.8,S100a4,3.71618,5e-05,0.000496523,Up
ENSMUSG00000067212.8,H2-T23,3.71126,0.0265,0.0884496,Up
ENSMUSG00000026193.15,Fn1,3.70779,5e-05,0.000496523,Up
ENSMUSG00000052160.6,Pld4,3.70727,4e-04,0.00295434,Up
ENSMUSG00000073940.3,Hbb-bt,3.69957,5e-05,0.000496523,Up
ENSMUSG00000018930.3,Ccl4,3.69739,5e-05,0.000496523,Up
ENSMUSG00000019874.11,Fabp7,3.69503,5e-05,0.000496523,Up
ENSMUSG00000025473.16,Adam8,3.68986,5e-05,0.000496523,Up
ENSMUSG00000032334.9,Loxl1,3.6747,5e-05,0.000496523,Up
ENSMUSG00000000290.13,Itgb2,3.66219,5e-05,0.000496523,Up
ENSMUSG00000009585.17,Apobec3,3.66108,5e-05,0.000496523,Up
ENSMUSG00000090394.8,4930523C07Rik,3.66076,5e-05,0.000496523,Up
ENSMUSG00000054520.15,Sh3bp2,3.64526,5e-05,0.000496523,Up
ENSMUSG00000018774.13,Cd68,3.64154,5e-05,0.000496523,Up
ENSMUSG00000049037.8,Clec4a1,3.63349,0.04455,0.130776,Up
ENSMUSG00000016024.9,Lbp,3.63224,5e-05,0.000496523,Up
ENSMUSG00000026547.15,Tagln2,3.62233,5e-05,0.000496523,Up
ENSMUSG00000020641.15,Rsad2,3.61994,5e-05,0.000496523,Up
ENSMUSG00000047407.17,Tgif1,3.60894,5e-05,0.000496523,Up
ENSMUSG00000029561.17,Oasl2,3.59007,5e-05,0.000496523,Up
ENSMUSG00000032231.14,Anxa2,3.58905,5e-05,0.000496523,Up
ENSMUSG00000024696.8,Lpxn,3.58232,0.0022,0.0120452,Up
ENSMUSG00000029762.6,Akr1b8,3.57779,0.01615,0.05989,Up
ENSMUSG00000078302.4,Foxd1,3.57359,5e-05,0.000496523,Up
ENSMUSG00000026177.11,Slc11a1,3.57304,5e-05,0.000496523,Up
ENSMUSG00000037321.17,Tap1,3.57081,5e-05,0.000496523,Up
ENSMUSG00000006398.15,Cdc20,3.568,0.00015,0.00129406,Up
ENSMUSG00000028497.12,Hacd4,3.56562,0.00035,0.00263998,Up
ENSMUSG00000000682.7,Cd52,3.5597,5e-05,0.000496523,Up
ENSMUSG00000044258.9,Ctla2a,3.55908,5e-05,0.000496523,Up
ENSMUSG00000031207.16,Msn,3.55866,5e-05,0.000496523,Up
ENSMUSG00000007041.9,Clic1,3.55505,5e-05,0.000496523,Up
ENSMUSG00000097415.2,AU020206,3.5445,5e-05,0.000496523,Up
ENSMUSG00000024353.4,Mzb1,3.53362,0.00295,0.0152954,Up
ENSMUSG00000040751.12,Lat2,3.52996,5e-05,0.000496523,Up
ENSMUSG00000041859.10,Mcm3,3.5291,5e-05,0.000496523,Up
ENSMUSG00000027496.15,Aurka,3.51716,5e-05,0.000496523,Up
ENSMUSG00000000317.11,Bcl6b,3.51693,0.00105,0.00657799,Up
ENSMUSG00000021760.3,Gpx8,3.51626,0.0345,0.107795,Up
ENSMUSG00000089675.1,Ugt1a8,3.50847,0.0323,0.102704,Up
ENSMUSG00000074813.12,Gm14005,3.50676,2e-04,0.0016564,Up
ENSMUSG00000069917.7,Hba-a2,3.49423,5e-05,0.000496523,Up
ENSMUSG00000022150.16,Dab2,3.48537,5e-05,0.000496523,Up
ENSMUSG00000031375.17,Bgn,3.48474,5e-05,0.000496523,Up
ENSMUSG00000028195.4,Cyr61,3.47887,5e-05,0.000496523,Up
ENSMUSG00000054072.11,Iigp1,3.45991,5e-05,0.000496523,Up
ENSMUSG00000039109.15,F13a1,3.45764,5e-05,0.000496523,Up
ENSMUSG00000025574.13,Tk1,3.44098,1e-04,0.00091011,Up
ENSMUSG00000024338.14,Psmb8,3.43744,5e-05,0.000496523,Up
ENSMUSG00000024989.14,Cep55,3.42384,3e-04,0.00231628,Up
ENSMUSG00000031662.7,Snx20,3.42169,0.00895,0.0373734,Up
ENSMUSG00000035929.11,H2-Q4,3.42027,5e-05,0.000496523,Up
ENSMUSG00000029084.5,Cd38,3.41579,5e-05,0.000496523,Up
ENSMUSG00000053113.3,Socs3,3.41492,5e-05,0.000496523,Up
ENSMUSG00000046470.5,Sox18,3.41475,5e-05,0.000496523,Up
ENSMUSG00000033777.3,Tlr13,3.40703,0.0182,0.065822,Up
ENSMUSG00000099757.1,BE692007,3.40603,0.00735,0.032027,Up
ENSMUSG00000020399.14,Havcr2,3.39392,5e-05,0.000496523,Up
ENSMUSG00000043505.8,Gimap5,3.39375,0.0065,0.0289944,Up
ENSMUSG00000022146.12,Osmr,3.38675,5e-05,0.000496523,Up
ENSMUSG00000071637.4,Cebpd,3.38327,5e-05,0.000496523,Up
ENSMUSG00000106734.3,Gm20559,3.37849,0.00065,0.00443922,Up
ENSMUSG00000024965.8,Fermt3,3.37427,0.0327,0.103631,Up
ENSMUSG00000032431.6,Crtap,3.36402,0.01755,0.0639741,Up
ENSMUSG00000005470.8,Asf1b,3.36011,0.0126,0.0492542,Up
ENSMUSG00000029925.13,Tbxas1,3.35651,2e-04,0.0016564,Up
ENSMUSG00000000957.9,Mmp14,3.35616,5e-05,0.000496523,Up
ENSMUSG00000003283.13,Hck,3.3551,5e-05,0.000496523,Up
ENSMUSG00000048200.11,Cracr2b,3.35099,3e-04,0.00231628,Up
ENSMUSG00000033107.5,Rnf125,3.34951,0.0231,0.0792519,Up
ENSMUSG00000002847.6,Pla1a,3.34068,0.0018,0.0102247,Up
ENSMUSG00000026605.14,Cenpf,3.33693,0.0016,0.00929257,Up
ENSMUSG00000021423.5,Ly86,3.33556,5e-05,0.000496523,Up
ENSMUSG00000070327.13,Rnf213,3.33452,5e-05,0.000496523,Up
ENSMUSG00000026395.16,Ptprc,3.3344,5e-05,0.000496523,Up
ENSMUSG00000004837.2,Grap,3.33264,0.00795,0.0341268,Up
ENSMUSG00000021822.2,Plau,3.32012,5e-05,0.000496523,Up
ENSMUSG00000037370.13,Enpp1,3.29623,5e-05,0.000496523,Up
ENSMUSG00000027398.13,Il1b,3.2959,0.01775,0.0645516,Up
ENSMUSG00000056529.7,Ptafr,3.29522,5e-05,0.000496523,Up
ENSMUSG00000048126.16,Col6a3,3.29208,5e-05,0.000496523,Up
ENSMUSG00000026073.13,Il1r2,3.28548,0.0048,0.0227945,Up
ENSMUSG00000028873.16,Cdca8,3.28391,5e-05,0.000496523,Up
ENSMUSG00000027800.14,Tm4sf1,3.28375,5e-05,0.000496523,Up
ENSMUSG00000096727.2,Psmb9,3.28355,5e-05,0.000496523,Up
ENSMUSG00000050063.18,Klk6,3.28316,5e-05,0.000496523,Up
ENSMUSG00000016256.10,Ctsz,3.27986,5e-05,0.000496523,Up
ENSMUSG00000001930.17,Vwf,3.27752,5e-05,0.000496523,Up
ENSMUSG00000037820.15,Tgm2,3.27669,5e-05,0.000496523,Up
ENSMUSG00000004730.14,Adgre1,3.26167,5e-05,0.000496523,Up
ENSMUSG00000068129.5,Cst7,3.25855,5e-05,0.000496523,Up
ENSMUSG00000027715.9,Ccna2,3.24914,0.0033,0.016843,Up
ENSMUSG00000038943.16,Prc1,3.23631,5e-05,0.000496523,Up
ENSMUSG00000030218.2,Mgp,3.23546,5e-05,0.000496523,Up
ENSMUSG00000047534.16,Mis18bp1,3.23269,1e-04,0.00091011,Up
ENSMUSG00000030867.7,Plk1,3.22793,5e-05,0.000496523,Up
ENSMUSG00000028108.15,Ecm1,3.22729,5e-05,0.000496523,Up
ENSMUSG00000033880.11,Lgals3bp,3.21792,5e-05,0.000496523,Up
ENSMUSG00000019832.3,Rab32,3.21608,5e-05,0.000496523,Up
ENSMUSG00000043157.7,Arl11,3.21324,0.00135,0.00809414,Up
ENSMUSG00000027014.14,Cwc22,3.21097,5e-05,0.000496523,Up
ENSMUSG00000020427.11,Igfbp3,3.20884,5e-05,0.000496523,Up
ENSMUSG00000045930.2,Clec14a,3.20774,5e-05,0.000496523,Up
ENSMUSG00000040345.9,Arhgap9,3.20313,0.0076,0.0328742,Up
ENSMUSG00000018920.11,Cxcl16,3.20246,5e-05,0.000496523,Up
ENSMUSG00000040747.9,Cd53,3.20036,5e-05,0.000496523,Up
ENSMUSG00000031871.8,Cdh5,3.1986,5e-05,0.000496523,Up
ENSMUSG00000033124.15,Atg9a,-3.19148,0.01575,0.0586166,Down
ENSMUSG00000025161.16,Slc16a3,3.18949,5e-05,0.000496523,Up
ENSMUSG00000029915.14,Clec5a,3.18736,1e-04,0.00091011,Up
ENSMUSG00000041736.6,Tspo,3.18548,5e-05,0.000496523,Up
ENSMUSG00000037095.7,Lrg1,3.18371,5e-05,0.000496523,Up
ENSMUSG00000028599.10,Tnfrsf1b,3.18054,2e-04,0.0016564,Up
ENSMUSG00000074971.4,Fibin,3.17515,5e-05,0.000496523,Up
ENSMUSG00000061232.15,H2-K1,3.17337,5e-05,0.000496523,Up
ENSMUSG00000021408.14,Ripk1,3.17327,0.01355,0.0522283,Up
ENSMUSG00000027611.12,Procr,3.16913,5e-05,0.000496523,Up
ENSMUSG00000028378.6,Ptgr1,3.16166,0.00165,0.00953837,Up
ENSMUSG00000032359.14,Ctsh,3.15468,5e-05,0.000496523,Up
ENSMUSG00000048779.4,P2ry6,3.1351,5e-05,0.000496523,Up
ENSMUSG00000020592.14,Sdc1,3.12569,5e-05,0.000496523,Up
ENSMUSG00000048612.15,Myof,3.12523,5e-05,0.000496523,Up
ENSMUSG00000063268.12,Parp10,3.10733,0.0073,0.031865,Up
ENSMUSG00000018008.7,Cyth4,3.09628,5e-05,0.000496523,Up
ENSMUSG00000057596.13,Trim30d,3.09359,1e-04,0.00091011,Up
ENSMUSG00000000982.5,Ccl3,3.09224,0.0098,0.0402597,Up
ENSMUSG00000034349.14,Smc4,3.08755,5e-05,0.000496523,Up
ENSMUSG00000028268.14,Gbp3,3.08673,5e-05,0.000496523,Up
ENSMUSG00000030579.9,Tyrobp,3.07709,5e-05,0.000496523,Up
ENSMUSG00000030786.18,Itgam,3.07362,5e-05,0.000496523,Up
ENSMUSG00000048865.16,Arhgap30,3.07336,5e-05,0.000496523,Up
ENSMUSG00000093726.1,Gm20667,3.07196,0.0031,0.0159798,Up
ENSMUSG00000020186.6,Csrp2,3.0716,5e-05,0.000496523,Up
ENSMUSG00000020077.14,Srgn,3.06712,5e-05,0.000496523,Up
ENSMUSG00000034422.14,Parp14,3.04592,3e-04,0.00231628,Up
ENSMUSG00000044786.5,Zfp36,3.0411,5e-05,0.000496523,Up
ENSMUSG00000040084.9,Bub1b,3.03818,5e-04,0.0035596,Up
ENSMUSG00000039476.13,Prrx2,3.0336,5e-05,0.000496523,Up
ENSMUSG00000041390.18,Mdfic,3.03095,5e-05,0.000496523,Up
ENSMUSG00000029605.16,Oas1b,3.02813,0.00065,0.00443922,Up
ENSMUSG00000026222.16,Sp100,3.02806,5e-05,0.000496523,Up
ENSMUSG00000060550.15,H2-Q7,3.02453,5e-05,0.000496523,Up
ENSMUSG00000033355.5,Rtp4,3.01527,5e-05,0.000496523,Up
ENSMUSG00000035778.17,Ggta1,2.99463,5e-05,0.000496523,Up
ENSMUSG00000027654.2,Fam83d,2.99438,5e-05,0.000496523,Up
ENSMUSG00000040528.15,Milr1,2.99388,0.00085,0.00554016,Up
ENSMUSG00000004709.14,Cd244,2.99149,0.02265,0.078053,Up
ENSMUSG00000018654.17,Ikzf1,2.99107,4e-04,0.00295434,Up
ENSMUSG00000028581.17,Laptm5,2.98887,5e-05,0.000496523,Up
ENSMUSG00000059498.13,Fcgr3,2.98453,5e-05,0.000496523,Up
ENSMUSG00000022831.14,Hcls1,2.98201,5e-05,0.000496523,Up
ENSMUSG00000036905.8,C1qb,2.98157,5e-05,0.000496523,Up
ENSMUSG00000017830.15,Dhx58,2.98142,0.0096,0.0395689,Up
ENSMUSG00000031465.6,Angpt2,2.98079,5e-04,0.0035596,Up
ENSMUSG00000001025.8,S100a6,2.97057,5e-05,0.000496523,Up
ENSMUSG00000072620.3,Slfn2,2.96875,5e-05,0.000496523,Up
ENSMUSG00000024397.14,Aif1,2.96749,5e-05,0.000496523,Up
ENSMUSG00000079553.10,Kifc1,2.96703,0.0036,0.0181064,Up
ENSMUSG00000017652.16,Cd40,2.96541,4e-04,0.00295434,Up
ENSMUSG00000028413.13,B4galt1,2.96288,5e-05,0.000496523,Up
ENSMUSG00000073599.9,Ecscr,2.96048,2e-04,0.0016564,Up
ENSMUSG00000036887.5,C1qa,2.95975,5e-05,0.000496523,Up
ENSMUSG00000029552.19,Tes,2.95729,5e-05,0.000496523,Up
ENSMUSG00000071547.3,Nt5dc2,2.95561,0.00205,0.0113743,Up
ENSMUSG00000033386.10,Frrs1,2.95203,1e-04,0.00091011,Up
ENSMUSG00000031170.14,Slc38a5,2.94665,2e-04,0.0016564,Up
ENSMUSG00000004371.14,Il11,2.94493,5e-05,0.000496523,Up
ENSMUSG00000007891.15,Ctsd,2.94081,5e-05,0.000496523,Up
ENSMUSG00000004098.7,Col5a3,2.9335,5e-05,0.000496523,Up
ENSMUSG00000028597.11,Gpx7,2.91566,0.00025,0.00198959,Up
ENSMUSG00000032254.9,Kif23,2.91416,5e-05,0.000496523,Up
ENSMUSG00000057143.14,Trim12c,2.90495,5e-05,0.000496523,Up
ENSMUSG00000052142.15,Rasal3,2.90304,0.0016,0.00929257,Up
ENSMUSG00000026365.15,Cfh,2.90045,5e-05,0.000496523,Up
ENSMUSG00000022148.15,Fyb,2.90026,5e-05,0.000496523,Up
ENSMUSG00000038642.10,Ctss,2.89894,5e-05,0.000496523,Up
ENSMUSG00000060063.9,Alox5ap,2.87988,5e-05,0.000496523,Up
ENSMUSG00000042821.7,Snai1,2.87578,5e-05,0.000496523,Up
ENSMUSG00000098112.7,Bin2,2.87218,5e-05,0.000496523,Up
ENSMUSG00000000628.10,Hk2,2.86603,5e-05,0.000496523,Up
ENSMUSG00000020120.15,Plek,2.862,1e-04,0.00091011,Up
