gene_id,gene,log2.fold_change.,p_value,q_value,Sig
ENSMUSG00000030824.15,Nucb1,1.17539,0.0111,0.0445254,Up
ENSMUSG00000026094.14,Stk17b,1.17514,5e-05,0.000496523,Up
ENSMUSG00000038872.9,Zfhx3,1.17461,0.02035,0.0718409,Up
ENSMUSG00000034320.14,Slc26a2,1.17454,5e-05,0.000496523,Up
ENSMUSG00000097428.1,AW047730,-1.17392,5e-05,0.000496523,Down
ENSMUSG00000001128.7,Cfp,1.17386,0.0032,0.0164135,Up
ENSMUSG00000075224.8,Lrrc55,-1.1738,5e-05,0.000496523,Down
ENSMUSG00000075705.12,Msrb1,1.17329,5e-05,0.000496523,Up
ENSMUSG00000056367.14,Actr3b,-1.17268,5e-05,0.000496523,Down
ENSMUSG00000015575.14,Atp6v0e,1.17247,5e-05,0.000496523,Up
ENSMUSG00000031521.4,Aga,1.17229,5e-05,0.000496523,Up
ENSMUSG00000046841.4,Ckap4,1.17113,5e-05,0.000496523,Up
ENSMUSG00000029875.4,Ccdc184,-1.17011,5e-05,0.000496523,Down
ENSMUSG00000035356.16,Nfkbiz,1.16971,0.00015,0.00129406,Up
ENSMUSG00000024430.13,Cabyr,-1.16856,5e-05,0.000496523,Down
ENSMUSG00000039345.15,Mettl22,-1.16759,0.0057,0.0262069,Down
ENSMUSG00000022309.8,Angpt1,1.16732,5e-04,0.0035596,Up
ENSMUSG00000082633.1,Gm15779,-1.16658,0.0198,0.0703994,Down
ENSMUSG00000029054.8,Gabrd,-1.16508,5e-05,0.000496523,Down
ENSMUSG00000097801.1,Gm26777,-1.16477,0.00155,0.00904021,Down
ENSMUSG00000024805.15,Pcgf5,1.16462,0.0036,0.0181064,Up
ENSMUSG00000029056.13,Pank4,1.16453,0.0034,0.0172824,Up
ENSMUSG00000045672.15,Col27a1,1.16453,0.02105,0.0738087,Up
ENSMUSG00000026765.12,Lypd6b,-1.16212,5e-05,0.000496523,Down
ENSMUSG00000019846.11,Lama4,1.16202,0.0403,0.120696,Up
ENSMUSG00000045180.13,Shroom2,-1.16197,5e-05,0.000496523,Down
ENSMUSG00000043572.7,Pars2,-1.16021,0.00815,0.0347452,Down
ENSMUSG00000020869.8,Lrrc59,1.15984,0.00315,0.0161838,Up
ENSMUSG00000054894.5,Atp5s,-1.15934,0.00285,0.0148327,Down
ENSMUSG00000029560.12,Snx8,1.15928,5e-05,0.000496523,Up
ENSMUSG00000028382.15,Ptbp3,1.15927,0.02815,0.0926623,Up
ENSMUSG00000084106.4,Gm6136,1.15892,0.02145,0.0749573,Up
ENSMUSG00000020686.12,Gas2l2,-1.15772,0.0037,0.0184673,Down
ENSMUSG00000027712.13,Anxa5,1.15761,5e-05,0.000496523,Up
ENSMUSG00000032312.6,Csk,1.15718,5e-05,0.000496523,Up
ENSMUSG00000075254.11,Heg1,1.15561,0.00025,0.00198959,Up
ENSMUSG00000021036.10,Sptlc2,1.15435,0.0094,0.0388219,Up
ENSMUSG00000021248.8,Tmed10,1.15432,5e-05,0.000496523,Up
ENSMUSG00000047797.14,Gjb1,1.15432,5e-05,0.000496523,Up
ENSMUSG00000028936.15,Rpl22,1.15387,5e-05,0.000496523,Up
ENSMUSG00000035441.14,Myo1d,1.15383,5e-05,0.000496523,Up
ENSMUSG00000024177.8,Nme4,1.15375,0.02515,0.0849248,Up
ENSMUSG00000041911.3,Dlx1,-1.15347,0.0209,0.073407,Down
ENSMUSG00000028645.10,Slc2a1,1.15305,5e-05,0.000496523,Up
ENSMUSG00000008398.14,Elk3,1.15303,0.0074,0.0321997,Up
ENSMUSG00000002055.9,Spag5,1.15159,0.01605,0.0596438,Up
ENSMUSG00000032434.8,Cmtm6,1.1511,5e-05,0.000496523,Up
ENSMUSG00000046480.5,Scn4b,-1.15073,5e-05,0.000496523,Down
ENSMUSG00000028639.14,Ybx1,1.15028,5e-05,0.000496523,Up
ENSMUSG00000042604.5,Kcna4,-1.14911,0.00935,0.0387571,Down
ENSMUSG00000037904.14,Ankrd9,-1.14873,8e-04,0.0052612,Down
ENSMUSG00000092230.1,Gm18889,1.14761,0.02665,0.0889025,Up
ENSMUSG00000026709.10,Dars2,1.14635,0.02205,0.0765801,Up
ENSMUSG00000028800.15,Hdac1,1.14574,5e-05,0.000496523,Up
ENSMUSG00000025362.5,Rps26,1.14485,5e-05,0.000496523,Up
ENSMUSG00000060639.5,Hist1h4i,1.14342,0.0117,0.0464226,Up
ENSMUSG00000028015.3,Ctso,1.14296,0.00325,0.016622,Up
ENSMUSG00000040033.15,Stat2,1.14269,0.00075,0.00500121,Up
ENSMUSG00000028163.17,Nfkb1,1.14194,1e-04,0.00091011,Up
ENSMUSG00000042293.7,Gm5617,1.14174,0.03395,0.106505,Up
ENSMUSG00000036968.15,Cnpy4,1.14121,5e-05,0.000496523,Up
ENSMUSG00000033615.9,Cplx1,-1.14088,5e-05,0.000496523,Down
ENSMUSG00000044676.9,Zfp612,-1.14063,5e-05,0.000496523,Down
ENSMUSG00000026429.8,Ube2t,1.1405,0.00855,0.0359934,Up
ENSMUSG00000029470.15,P2rx4,1.14023,2e-04,0.0016564,Up
ENSMUSG00000035934.15,Pknox2,-1.13988,0.00625,0.0280809,Down
ENSMUSG00000030518.17,Fam189a1,-1.13941,0.0073,0.031865,Down
ENSMUSG00000028673.10,Fuca1,1.13903,5e-05,0.000496523,Up
ENSMUSG00000042099.15,Kank3,1.13853,0.00915,0.0380423,Up
ENSMUSG00000044026.2,Slc35g1,1.13813,3e-04,0.00231628,Up
ENSMUSG00000090698.2,Apold1,1.13734,0.0011,0.00683607,Up
ENSMUSG00000070392.4,Gm20634,1.13718,0.00935,0.0387571,Up
ENSMUSG00000031119.4,Gpc4,1.13549,7e-04,0.00471333,Up
ENSMUSG00000013523.13,Bcas1,1.13371,5e-05,0.000496523,Up
ENSMUSG00000053214.7,Gm9899,-1.13333,0.0014,0.00834559,Down
ENSMUSG00000103477.1,5930409G06Rik,-1.13275,0.0022,0.0120452,Down
ENSMUSG00000059554.12,Ccdc28a,-1.13172,1e-04,0.00091011,Down
ENSMUSG00000052681.7,Rap1b,1.13125,5e-05,0.000496523,Up
ENSMUSG00000044060.17,A830010M20Rik,-1.13109,5e-05,0.000496523,Down
ENSMUSG00000097204.2,Gm17690,1.12996,0.0459,0.133728,Up
ENSMUSG00000032487.8,Ptgs2,1.12976,5e-04,0.0035596,Up
ENSMUSG00000027935.14,Rab13,1.12888,0.00195,0.0109219,Up
ENSMUSG00000032300.6,1700017B05Rik,1.12882,5e-05,0.000496523,Up
ENSMUSG00000039263.16,Npepl1,1.12861,0.01645,0.0608209,Up
ENSMUSG00000039278.10,Pcsk1n,-1.1284,5e-05,0.000496523,Down
ENSMUSG00000075266.4,Cenpw,1.12837,5e-05,0.000496523,Up
ENSMUSG00000028228.5,Cpne3,1.12765,5e-05,0.000496523,Up
ENSMUSG00000079111.3,Kdelr2,1.12663,5e-05,0.000496523,Up
ENSMUSG00000005142.9,Man2b1,1.12661,5e-05,0.000496523,Up
ENSMUSG00000025758.10,Plk4,1.1266,0.0176,0.0641187,Up
ENSMUSG00000061330.7,Gm11361,1.12643,5e-05,0.000496523,Up
ENSMUSG00000074457.10,S100a16,1.12456,5e-05,0.000496523,Up
ENSMUSG00000027318.17,Adam33,-1.12441,0.00115,0.00711831,Down
ENSMUSG00000020282.18,Rhbdf1,1.12417,0.00375,0.0187018,Up
ENSMUSG00000000001.4,Gnai3,1.12213,5e-05,0.000496523,Up
ENSMUSG00000005986.15,Ankrd13d,-1.12193,7e-04,0.00471333,Down
ENSMUSG00000022594.14,Lynx1,-1.1208,0.0011,0.00683607,Down
ENSMUSG00000025612.5,Bach1,1.12005,0.00025,0.00198959,Up
ENSMUSG00000020464.15,Pnpt1,1.11842,0.00015,0.00129406,Up
ENSMUSG00000024197.9,Plin3,1.11531,5e-05,0.000496523,Up
ENSMUSG00000027160.16,Ccdc34,1.11526,5e-05,0.000496523,Up
ENSMUSG00000036305.6,Rpl39-ps,1.11491,0.02385,0.0811749,Up
ENSMUSG00000032381.5,Fam96a,1.11415,5e-05,0.000496523,Up
ENSMUSG00000025776.13,Crispld1,-1.11201,8e-04,0.0052612,Down
ENSMUSG00000064246.10,Chil1,1.1117,0.02475,0.0838019,Up
ENSMUSG00000038422.2,Hdhd3,1.11106,0.0046,0.0220555,Up
ENSMUSG00000048376.5,F2r,1.11102,0.00125,0.00763084,Up
ENSMUSG00000044024.15,Rell2,-1.11088,0.0153,0.0574756,Down
ENSMUSG00000026276.17,Sept2,1.11054,5e-05,0.000496523,Up
ENSMUSG00000042079.13,Hnrnpf,1.11011,0.00515,0.0240973,Up
ENSMUSG00000058325.5,Dock1,1.10931,0.00015,0.00129406,Up
ENSMUSG00000014873.15,Surf2,1.10894,0.001,0.00630289,Up
ENSMUSG00000004451.14,Ralb,1.10893,5e-05,0.000496523,Up
ENSMUSG00000040188.9,Scamp2,1.10891,5e-05,0.000496523,Up
ENSMUSG00000025862.14,Stag2,-1.10876,0.02135,0.0746919,Down
ENSMUSG00000029178.14,Klf3,1.10798,2e-04,0.0016564,Up
ENSMUSG00000028223.8,Decr1,1.10784,5e-05,0.000496523,Up
ENSMUSG00000033726.8,Emx1,-1.10673,5e-05,0.000496523,Down
ENSMUSG00000029171.12,Pgm1,1.1056,0.04035,0.120758,Up
ENSMUSG00000084289.1,Gm6977,1.10523,0.03175,0.101344,Up
ENSMUSG00000026142.15,Rhbdd1,1.10456,3e-04,0.00231628,Up
ENSMUSG00000038319.14,Kcnh2,-1.10408,7e-04,0.00471333,Down
ENSMUSG00000108633.1,RP23-285C18.7,1.10331,0.01495,0.0565025,Up
ENSMUSG00000061576.15,Dpp6,-1.10313,0.00085,0.00554016,Down
ENSMUSG00000052949.14,Rnf157,-1.10311,5e-05,0.000496523,Down
ENSMUSG00000101838.6,Gm18800,-1.10287,0.0343,0.107386,Down
ENSMUSG00000074743.4,Thbd,1.10214,5e-05,0.000496523,Up
ENSMUSG00000027994.14,Ccdc109b,1.10197,0.03495,0.108791,Up
ENSMUSG00000029651.16,Mtus2,-1.10183,0.00025,0.00198959,Down
ENSMUSG00000029153.11,Ociad2,-1.10108,5e-05,0.000496523,Down
ENSMUSG00000022070.6,Bora,1.10019,0.00605,0.0274203,Up
ENSMUSG00000015290.15,Ubl4a,1.09966,0.00045,0.0032788,Up
ENSMUSG00000026610.13,Esrrg,-1.09938,0.00025,0.00198959,Down
ENSMUSG00000027936.18,Crtc2,1.09796,0.00055,0.00386244,Up
ENSMUSG00000005481.17,Ddx39,1.09682,2e-04,0.0016564,Up
ENSMUSG00000002043.16,Trappc6a,1.09635,0.00085,0.00554016,Up
ENSMUSG00000100018.1,Gm7776,1.09607,0.02035,0.0718409,Up
ENSMUSG00000021756.12,Il6st,1.09206,9e-04,0.00578711,Up
ENSMUSG00000059540.15,Tcea2,-1.09194,7e-04,0.00471333,Down
ENSMUSG00000036578.7,Fxyd7,-1.091,5e-05,0.000496523,Down
ENSMUSG00000039007.9,Cpq,1.0909,0.0018,0.0102247,Up
ENSMUSG00000018459.15,Slc13a3,1.08982,9e-04,0.00578711,Up
ENSMUSG00000026176.13,Ctdsp1,1.08907,0.00075,0.00500121,Up
ENSMUSG00000023034.6,Nr4a1,-1.08902,5e-05,0.000496523,Down
ENSMUSG00000049744.15,Arhgap15,-1.08813,8e-04,0.0052612,Down
ENSMUSG00000033589.3,Reep4,1.08773,2e-04,0.0016564,Up
ENSMUSG00000028081.6,Rps3a1,-1.08772,0.00235,0.0126931,Down
ENSMUSG00000037386.15,Rims2,-1.08755,5e-05,0.000496523,Down
ENSMUSG00000056116.18,H2-T22,1.08695,5e-05,0.000496523,Up
ENSMUSG00000027639.16,Samhd1,1.08563,0.00065,0.00443922,Up
ENSMUSG00000031626.16,Sorbs2,-1.08549,0.00065,0.00443922,Down
ENSMUSG00000042182.16,Bend6,-1.08506,5e-05,0.000496523,Down
ENSMUSG00000045314.5,Sowahb,-1.08395,5e-05,0.000496523,Down
ENSMUSG00000022602.14,Arc,-1.08392,5e-05,0.000496523,Down
ENSMUSG00000021932.13,Rnaseh2b,1.0839,0.0039,0.0193104,Up
ENSMUSG00000028234.6,Rps20,1.08226,5e-05,0.000496523,Up
ENSMUSG00000052684.4,Jun,1.08209,5e-05,0.000496523,Up
ENSMUSG00000026167.14,Wnt10a,-1.0818,0.00105,0.00657799,Down
ENSMUSG00000049288.4,Lix1l,1.08143,5e-05,0.000496523,Up
ENSMUSG00000020485.14,Supt4a,-1.08089,0.01455,0.0552767,Down
ENSMUSG00000036833.16,Pnpla7,1.07984,5e-05,0.000496523,Up
ENSMUSG00000038026.12,Kcnj9,-1.07975,5e-05,0.000496523,Down
ENSMUSG00000022175.8,Lrp10,1.07732,5e-05,0.000496523,Up
ENSMUSG00000056211.13,R3hdm1,-1.07725,5e-05,0.000496523,Down
ENSMUSG00000003032.8,Klf4,1.07662,5e-05,0.000496523,Up
ENSMUSG00000005043.13,Sgsh,1.07623,0.01085,0.0437061,Up
ENSMUSG00000050965.14,Prkca,-1.07595,5e-05,0.000496523,Down
ENSMUSG00000023007.15,Prpf40b,-1.07582,5e-05,0.000496523,Down
ENSMUSG00000029471.13,Camkk2,-1.0758,5e-05,0.000496523,Down
ENSMUSG00000064179.13,Tnnt1,-1.07537,0.00255,0.0135495,Down
ENSMUSG00000025525.12,Apool,1.07466,0.01715,0.0628109,Up
ENSMUSG00000030551.13,Nr2f2,1.07366,5e-05,0.000496523,Up
ENSMUSG00000067818.6,Myl9,1.07353,0.0041,0.020172,Up
ENSMUSG00000046550.8,Spin2c,-1.07337,0.02605,0.0872289,Down
ENSMUSG00000017412.15,Cacnb4,-1.07318,0.0151,0.0569655,Down
ENSMUSG00000028111.4,Ctsk,1.07312,0.00575,0.026388,Up
ENSMUSG00000018042.17,Cyb5r3,1.0727,5e-05,0.000496523,Up
ENSMUSG00000107273.1,AC116138.1,-1.07242,0.02445,0.0828765,Down
ENSMUSG00000005803.14,Sqrdl,1.07188,0.0053,0.0246599,Up
ENSMUSG00000020053.18,Igf1,1.0717,0.00065,0.00443922,Up
ENSMUSG00000079598.3,Clec2l,-1.07103,5e-05,0.000496523,Down
ENSMUSG00000023886.9,Smoc2,1.0702,5e-05,0.000496523,Up
ENSMUSG00000028033.16,Kcnq5,-1.06967,5e-05,0.000496523,Down
ENSMUSG00000046613.18,Vwa5b2,-1.06948,1e-04,0.00091011,Down
ENSMUSG00000016528.10,Mapkapk2,1.06776,5e-05,0.000496523,Up
ENSMUSG00000038418.7,Egr1,-1.06742,5e-05,0.000496523,Down
ENSMUSG00000011257.19,Pabpc4,1.06736,0.01625,0.060189,Up
ENSMUSG00000038312.10,Edem2,1.06589,0.00135,0.00809414,Up
ENSMUSG00000041235.11,Chd7,1.06589,0.0015,0.00880231,Up
ENSMUSG00000038764.14,Ptpn3,-1.06411,0.0213,0.074601,Down
ENSMUSG00000021301.8,Hecw1,-1.06394,5e-05,0.000496523,Down
ENSMUSG00000075033.3,Nxpe3,-1.06194,5e-05,0.000496523,Down
ENSMUSG00000044005.13,Gls2,-1.06156,1e-04,0.00091011,Down
ENSMUSG00000049969.3,Plekhf2,1.06093,5e-05,0.000496523,Up
ENSMUSG00000030302.16,Atp2b2,-1.06077,5e-05,0.000496523,Down
ENSMUSG00000062127.11,Cttnbp2nl,1.06056,5e-05,0.000496523,Up
ENSMUSG00000058975.6,Kcnc1,-1.06047,5e-05,0.000496523,Down
ENSMUSG00000017009.3,Sdc4,1.06037,5e-05,0.000496523,Up
ENSMUSG00000032224.14,Fam81a,-1.05999,5e-05,0.000496523,Down
ENSMUSG00000061306.15,Slc38a10,1.05912,5e-05,0.000496523,Up
ENSMUSG00000022438.6,Parvb,1.05908,0.014,0.0536962,Up
ENSMUSG00000073155.12,1810058I24Rik,1.05842,5e-05,0.000496523,Up
ENSMUSG00000047250.13,Ptgs1,1.05554,5e-05,0.000496523,Up
ENSMUSG00000040584.8,Abcb1a,1.05534,5e-05,0.000496523,Up
ENSMUSG00000046605.14,B3gntl1,1.05464,0.039,0.117796,Up
ENSMUSG00000029189.10,Sel1l3,-1.05392,5e-05,0.000496523,Down
ENSMUSG00000073424.9,Cyp4f15,-1.0527,0.0021,0.0116,Down
ENSMUSG00000037509.18,Arhgef4,-1.05255,0.0025,0.0133581,Down
ENSMUSG00000022055.7,Nefl,-1.0525,5e-05,0.000496523,Down
ENSMUSG00000040811.15,Eml2,-1.05198,5e-05,0.000496523,Down
ENSMUSG00000050666.13,Vstm4,1.05155,0.00215,0.0118183,Up
ENSMUSG00000021453.2,Gadd45g,1.05098,1e-04,0.00091011,Up
ENSMUSG00000027808.8,Serp1,1.05098,5e-05,0.000496523,Up
ENSMUSG00000005057.13,Sh2b2,1.04988,0.008,0.034294,Up
ENSMUSG00000068196.4,Col8a1,1.04964,6e-04,0.00415717,Up
ENSMUSG00000034487.3,Kdelc2,1.04947,0.0013,0.00787032,Up
ENSMUSG00000022763.16,Aifm3,-1.04908,5e-05,0.000496523,Down
ENSMUSG00000029687.16,Ezh2,1.04869,0.0014,0.00834559,Up
ENSMUSG00000026600.12,Soat1,1.04851,0.03375,0.1062,Up
ENSMUSG00000079018.10,Ly6c1,1.04841,5e-05,0.000496523,Up
ENSMUSG00000062937.7,Mtap,1.0483,0.00025,0.00198959,Up
ENSMUSG00000031887.13,Tradd,1.04748,0.00355,0.0179129,Up
ENSMUSG00000052302.5,Tbc1d30,-1.047,5e-05,0.000496523,Down
ENSMUSG00000046312.4,AI464131,-1.04628,0.0022,0.0120452,Down
ENSMUSG00000039154.6,Shd,-1.04585,0.00045,0.0032788,Down
ENSMUSG00000024513.16,Mbd2,1.04554,5e-05,0.000496523,Up
ENSMUSG00000029781.7,Fkbp9,1.04437,5e-05,0.000496523,Up
ENSMUSG00000031266.6,Gla,1.04415,0.0174,0.0634832,Up
ENSMUSG00000019810.15,Fuca2,1.04388,0.0208,0.0732214,Up
ENSMUSG00000036437.5,Npy1r,-1.0422,4e-04,0.00295434,Down
ENSMUSG00000024620.11,Pdgfrb,1.04204,5e-05,0.000496523,Up
ENSMUSG00000048978.13,Nrsn1,-1.04119,5e-05,0.000496523,Down
ENSMUSG00000092545.7,Gm20319,-1.03983,0.03565,0.110416,Down
ENSMUSG00000020436.17,Gabrg2,-1.0398,5e-05,0.000496523,Down
ENSMUSG00000030055.16,Rab43,1.03948,0.0474,0.136592,Up
ENSMUSG00000105345.1,BC030343,-1.03863,0.0026,0.0137563,Down
ENSMUSG00000006301.17,Tmbim1,1.03684,0.0039,0.0193104,Up
ENSMUSG00000018102.4,Hist1h2bc,1.03657,5e-05,0.000496523,Up
ENSMUSG00000036478.7,Btg1,1.03647,5e-05,0.000496523,Up
ENSMUSG00000021708.16,Rasgrf2,-1.03548,5e-05,0.000496523,Down
ENSMUSG00000036918.15,Ttc7,1.03524,0.00025,0.00198959,Up
ENSMUSG00000040952.16,Rps19,1.03472,5e-05,0.000496523,Up
ENSMUSG00000072915.3,Gm12258,-1.03315,8e-04,0.0052612,Down
ENSMUSG00000032268.13,Tmprss5,1.03279,0.01695,0.0622619,Up
ENSMUSG00000070880.10,Gad1,-1.03252,5e-05,0.000496523,Down
ENSMUSG00000037992.16,Rara,1.03136,0.0252,0.0850474,Up
ENSMUSG00000030189.15,Ybx3,1.03078,5e-05,0.000496523,Up
ENSMUSG00000028931.11,Kcnab2,-1.03016,1e-04,0.00091011,Down
ENSMUSG00000036264.9,Fstl4,-1.02977,5e-05,0.000496523,Down
ENSMUSG00000035212.14,Leprot,1.0297,5e-05,0.000496523,Up
ENSMUSG00000021365.14,Nedd9,1.02963,3e-04,0.00231628,Up
ENSMUSG00000033542.13,Arhgef5,1.02909,0.0183,0.0660491,Up
ENSMUSG00000021219.16,Rgs6,-1.02874,0.00855,0.0359934,Down
ENSMUSG00000027646.15,Src,-1.02841,5e-05,0.000496523,Down
ENSMUSG00000071324.11,Armc2,-1.02821,2e-04,0.0016564,Down
ENSMUSG00000038415.9,Foxq1,1.02783,0.00025,0.00198959,Up
ENSMUSG00000025902.13,Sox17,1.027,0.0039,0.0193104,Up
ENSMUSG00000053898.12,Ech1,1.02672,5e-04,0.0035596,Up
ENSMUSG00000027004.3,Frzb,-1.0265,5e-05,0.000496523,Down
ENSMUSG00000034227.7,Foxj1,1.02642,0.00345,0.0174865,Up
ENSMUSG00000039252.11,Lgi2,-1.02537,5e-05,0.000496523,Down
ENSMUSG00000021360.15,Gcnt2,1.02503,0.0054,0.0250501,Up
ENSMUSG00000038037.4,Socs1,1.02433,0.00685,0.0302623,Up
ENSMUSG00000022523.9,Fgf12,-1.02401,5e-05,0.000496523,Down
ENSMUSG00000037463.14,Fbxo27,-1.02401,0.00355,0.0179129,Down
ENSMUSG00000024369.16,Nelfe,1.02318,5e-04,0.0035596,Up
ENSMUSG00000025403.4,Shmt2,1.02206,0.01125,0.0450544,Up
ENSMUSG00000025092.6,Hspa12a,-1.02171,5e-05,0.000496523,Down
ENSMUSG00000025283.15,Sat1,1.02018,5e-05,0.000496523,Up
ENSMUSG00000028519.16,Dab1,-1.01966,0.00635,0.0284274,Down
ENSMUSG00000080059.4,Rps19-ps3,-1.01955,0.01235,0.0485366,Down
ENSMUSG00000020435.17,Osbp2,-1.01813,5e-05,0.000496523,Down
ENSMUSG00000029279.15,Brdt,-1.01777,0.0023,0.0124718,Down
ENSMUSG00000026701.15,Prdx6,1.01621,5e-05,0.000496523,Up
ENSMUSG00000032014.5,Oaf,1.01557,5e-05,0.000496523,Up
ENSMUSG00000025237.15,Parp6,-1.01556,5e-05,0.000496523,Down
ENSMUSG00000016495.12,Plgrkt,1.01514,5e-05,0.000496523,Up
ENSMUSG00000048616.4,Nog,-1.01485,0.01025,0.0416266,Down
ENSMUSG00000030225.11,Dera,1.01481,0.0496,0.141488,Up
ENSMUSG00000031217.8,Efnb1,1.01433,5e-05,0.000496523,Up
ENSMUSG00000030556.12,Lrrc28,-1.01416,0.0045,0.0217185,Down
ENSMUSG00000031285.14,Dcx,-1.01315,5e-05,0.000496523,Down
ENSMUSG00000001053.15,N4bp3,1.01309,2e-04,0.0016564,Up
ENSMUSG00000018507.16,Trpv2,1.01248,0.0078,0.0336223,Up
ENSMUSG00000035849.14,Krt222,-1.01186,5e-05,0.000496523,Down
ENSMUSG00000044734.15,Serpinb1a,1.01087,0.00025,0.00198959,Up
ENSMUSG00000086363.7,A330102I10Rik,-1.01001,0.0117,0.0464226,Down
ENSMUSG00000031665.6,Sall1,1.00991,5e-05,0.000496523,Up
ENSMUSG00000004032.10,Gstm5,-1.0099,5e-04,0.0035596,Down
ENSMUSG00000038065.13,Mturn,-1.00952,5e-05,0.000496523,Down
ENSMUSG00000027602.9,Map1lc3a,-1.00942,5e-05,0.000496523,Down
ENSMUSG00000007613.15,Tgfbr1,1.00928,0.00295,0.0152954,Up
ENSMUSG00000026959.13,Grin1,-1.00926,0.0125,0.0489557,Down
ENSMUSG00000035033.15,Tbr1,-1.00925,5e-05,0.000496523,Down
ENSMUSG00000027220.2,Syt13,-1.0084,5e-05,0.000496523,Down
ENSMUSG00000060424.14,Pantr1,-1.00727,5e-05,0.000496523,Down
ENSMUSG00000034361.9,Cpne2,1.00726,0.02855,0.0936811,Up
ENSMUSG00000020372.15,Gnb2l1,1.00707,5e-05,0.000496523,Up
ENSMUSG00000020075.7,Ddx21,1.0061,5e-05,0.000496523,Up
ENSMUSG00000028691.12,Prdx1,1.00597,5e-05,0.000496523,Up
ENSMUSG00000037649.9,H2-DMa,1.00585,0.00615,0.0277925,Up
ENSMUSG00000098181.1,Rps12-ps24,1.00526,0.00605,0.0274203,Up
ENSMUSG00000035864.14,Syt1,-1.0051,5e-05,0.000496523,Down
ENSMUSG00000027510.17,Rbm38,1.00475,0.0087,0.0365135,Up
ENSMUSG00000051146.2,Camk2n2,-1.00446,5e-05,0.000496523,Down
ENSMUSG00000028833.13,Ncdn,-1.00355,5e-05,0.000496523,Down
ENSMUSG00000010406.11,Mrpl52,1.00303,0.00055,0.00386244,Up
ENSMUSG00000014329.14,Bicc1,1.00123,5e-05,0.000496523,Up
